              component smsmass1 smsmass2 htbin njetbin mhtbin   xi   n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.85  19   19
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  0.9  19   19
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 0.95  14   14
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  1.0  10   10
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 1.05   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  1.1   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 1.15   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200  1.2   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200 1.25   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400    0   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.05   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.1   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.2   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.25   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.3   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.35   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.4   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.45   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.5   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.55   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.6   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.65   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.7   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400 0.75   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400  0.8   2    2
