              component smsmass1 smsmass2 htbin njetbin mhtbin minOmegaTilde  n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400          0.35  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400           0.7  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800             0  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800          0.05  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800           0.1  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130             0 36   36
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.05 26   26
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.1 21   21
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.15 26   26
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.2 33   33
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.25 20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.3 25   25
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.35 11   11
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.4 18   18
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.45  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.5  9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.55 12   12
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.6  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.65  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.7  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.75  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.8  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.85  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130           0.9  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130          0.95  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200             0 44   44
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.05 41   41
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.1 54   54
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.15 48   48
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.2 37   37
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.25 28   28
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.3 30   30
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.35 27   27
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.4 31   31
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.45 29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.5 29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.55 13   13
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.6 15   15
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.65 17   17
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.7  9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.75  9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.8  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.85  9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           0.9  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          0.95  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           1.0  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200          1.05  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200           1.1  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400             0 19   19
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.05 10   10
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.1 12   12
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.15 14   14
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.2  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.25 10   10
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.3 10   10
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.35  6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.4  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.45  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.5  8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.55  3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.6  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.65  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.7  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.75  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.8  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.85  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           0.9  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          0.95  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400           1.0  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400          1.05  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800             0  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.05  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.1  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.15  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.2  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.25  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.3  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.35  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.4  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.45  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.5  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.55  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.6  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.65  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.7  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800          0.75  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.8  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           0.9  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800           1.0  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130             0 32   32
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.05 36   36
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.1 52   52
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.15 40   40
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.2 41   41
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.25 35   35
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.3 28   28
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.35 31   31
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.4 32   32
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.45 22   22
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.5 17   17
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.55 22   22
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.6 17   17
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.65 11   11
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.7 16   16
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.75 15   15
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.8  6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.85  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130           0.9  3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    130          0.95  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200             0 48   48
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.05 40   40
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.1 52   52
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.15 35   35
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.2 38   38
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.25 39   39
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.3 31   31
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.35 36   36
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.4 29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.45 37   37
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.5 32   32
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.55 26   26
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.6 29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.65 29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.7 21   21
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.75 25   25
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.8 18   18
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.85 20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           0.9  7    7
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          0.95  5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           1.0  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          1.05  5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           1.1  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200          1.15  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    200           1.2  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400             0  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.05  3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.1  5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.15  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.2  6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.25  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.3  3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.35  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.4  5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.45  5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.5  5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.55  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.6  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.65  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.7  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.75  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.8  2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.85  4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           0.9  0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          0.95  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400           1.0  1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       6    400          1.05  1    1
