                    component htbin njetbin mhtbin   xi     n  nvar
   QCD_HT300to500_madgraphMLM   200       3    200  0.9     0     0
   QCD_HT300to500_madgraphMLM   200       3    400 0.05     0     0
   QCD_HT300to500_madgraphMLM   200       6    130    0     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.05     1     1
   QCD_HT300to500_madgraphMLM   200       6    130  0.1     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.15     0     0
   QCD_HT300to500_madgraphMLM   200       6    130  0.2     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.25     0     0
   QCD_HT300to500_madgraphMLM   200       6    130  0.3     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.35     1     1
   QCD_HT300to500_madgraphMLM   200       6    130  0.4     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.45     0     0
   QCD_HT300to500_madgraphMLM   200       6    130  0.5     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.55     0     0
   QCD_HT300to500_madgraphMLM   200       6    130  0.6     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.65     0     0
   QCD_HT300to500_madgraphMLM   200       6    130 0.75     0     0
   QCD_HT300to500_madgraphMLM   200       6    130  0.8     0     0
   QCD_HT300to500_madgraphMLM   200       6    130  0.9     0     0
   QCD_HT300to500_madgraphMLM   200       6    200 0.05     0     0
   QCD_HT300to500_madgraphMLM   200       6    200 0.35     0     0
   QCD_HT300to500_madgraphMLM   200       9    130 0.05     0     0
   QCD_HT300to500_madgraphMLM   200       9    130 0.35     0     0
   QCD_HT300to500_madgraphMLM   400       2    130    0    17    17
   QCD_HT300to500_madgraphMLM   400       2    130 0.05     4     4
   QCD_HT300to500_madgraphMLM   400       2    130  0.1     2     2
   QCD_HT300to500_madgraphMLM   400       2    130 0.15     3     3
   QCD_HT300to500_madgraphMLM   400       2    130  0.2     0     0
   QCD_HT300to500_madgraphMLM   400       2    130 0.25     2     2
   QCD_HT300to500_madgraphMLM   400       2    130  0.3     0     0
   QCD_HT300to500_madgraphMLM   400       2    130 0.35     0     0
   QCD_HT300to500_madgraphMLM   400       2    130  0.4     1     1
   QCD_HT300to500_madgraphMLM   400       2    130 0.45     0     0
   QCD_HT300to500_madgraphMLM   400       2    130  0.5     0     0
   QCD_HT300to500_madgraphMLM   400       2    130 0.55     0     0
   QCD_HT300to500_madgraphMLM   400       2    130  0.6     0     0
   QCD_HT300to500_madgraphMLM   400       2    130 0.65     0     0
   QCD_HT300to500_madgraphMLM   400       2    130  0.7     0     0
   QCD_HT300to500_madgraphMLM   400       2    130 0.75     0     0
   QCD_HT300to500_madgraphMLM   400       2    200    0     3     3
   QCD_HT300to500_madgraphMLM   400       2    200 0.05     0     0
   QCD_HT300to500_madgraphMLM   400       2    200  0.1     0     0
   QCD_HT300to500_madgraphMLM   400       2    200 0.15     1     1
   QCD_HT300to500_madgraphMLM   400       2    200  0.2     1     1
   QCD_HT300to500_madgraphMLM   400       2    200 0.25     0     0
   QCD_HT300to500_madgraphMLM   400       2    200  0.3     1     1
   QCD_HT300to500_madgraphMLM   400       2    200 0.35     0     0
   QCD_HT300to500_madgraphMLM   400       2    200  0.4     0     0
   QCD_HT300to500_madgraphMLM   400       2    200 0.75     0     0
   QCD_HT300to500_madgraphMLM   400       2    400    0     0     0
   QCD_HT300to500_madgraphMLM   400       2    400 0.15     0     0
   QCD_HT300to500_madgraphMLM   400       2    400  0.2     1     1
   QCD_HT300to500_madgraphMLM   400       2    400 0.25     0     0
   QCD_HT300to500_madgraphMLM   400       2    400  0.3     0     0
   QCD_HT300to500_madgraphMLM   400       2    800  0.2     0     0
   QCD_HT300to500_madgraphMLM   400       3    130    0    32    32
   QCD_HT300to500_madgraphMLM   400       3    130 0.05    19    19
   QCD_HT300to500_madgraphMLM   400       3    130  0.1    14    14
   QCD_HT300to500_madgraphMLM   400       3    130 0.15    20    20
   QCD_HT300to500_madgraphMLM   400       3    130  0.2     4     4
   QCD_HT300to500_madgraphMLM   400       3    130 0.25     3     3
   QCD_HT300to500_madgraphMLM   400       3    130  0.3     1     1
   QCD_HT300to500_madgraphMLM   400       3    130 0.35     1     1
   QCD_HT300to500_madgraphMLM   400       3    130  0.4     2     2
   QCD_HT300to500_madgraphMLM   400       3    130 0.45     0     0
   QCD_HT300to500_madgraphMLM   400       3    130  0.5     1     1
   QCD_HT300to500_madgraphMLM   400       3    130 0.55     0     0
   QCD_HT300to500_madgraphMLM   400       3    130  0.6     0     0
   QCD_HT300to500_madgraphMLM   400       3    130 0.65     0     0
   QCD_HT300to500_madgraphMLM   400       3    130 0.75     0     0
   QCD_HT300to500_madgraphMLM   400       3    130  0.8     0     0
   QCD_HT300to500_madgraphMLM   400       3    130  0.9     0     0
   QCD_HT300to500_madgraphMLM   400       3    200    0     3     3
   QCD_HT300to500_madgraphMLM   400       3    200 0.05     1     1
   QCD_HT300to500_madgraphMLM   400       3    200  0.1     2     2
   QCD_HT300to500_madgraphMLM   400       3    200 0.15     0     0
   QCD_HT300to500_madgraphMLM   400       3    200  0.2     0     0
   QCD_HT300to500_madgraphMLM   400       3    200 0.25     0     0
   QCD_HT300to500_madgraphMLM   400       3    200  0.3     1     1
   QCD_HT300to500_madgraphMLM   400       3    200 0.35     0     0
   QCD_HT300to500_madgraphMLM   400       3    200  0.4     1     1
   QCD_HT300to500_madgraphMLM   400       3    200 0.45     0     0
   QCD_HT300to500_madgraphMLM   400       3    200  0.5     0     0
   QCD_HT300to500_madgraphMLM   400       3    400    0     0     0
   QCD_HT300to500_madgraphMLM   400       3    400 0.05     0     0
   QCD_HT300to500_madgraphMLM   400       3    400  0.1     0     0
   QCD_HT300to500_madgraphMLM   400       3    400  0.2     0     0
   QCD_HT300to500_madgraphMLM   400       3    400  0.3     1     1
   QCD_HT300to500_madgraphMLM   400       3    400 0.35     0     0
   QCD_HT300to500_madgraphMLM   400       3    400  0.4     0     0
   QCD_HT300to500_madgraphMLM   400       3    800  0.3     0     0
   QCD_HT300to500_madgraphMLM   400       6    130    0     2     2
   QCD_HT300to500_madgraphMLM   400       6    130 0.05     1     1
   QCD_HT300to500_madgraphMLM   400       6    130  0.1     1     1
   QCD_HT300to500_madgraphMLM   400       6    130 0.15     0     0
   QCD_HT300to500_madgraphMLM   400       6    130  0.2     1     1
   QCD_HT300to500_madgraphMLM   400       6    130 0.25     0     0
   QCD_HT300to500_madgraphMLM   400       6    130  0.3     0     0
   QCD_HT300to500_madgraphMLM   400       6    130 0.35     0     0
   QCD_HT300to500_madgraphMLM   400       6    130  0.4     0     0
   QCD_HT300to500_madgraphMLM   400       6    130  0.5     0     0
   QCD_HT300to500_madgraphMLM   400       6    200    0     1     1
   QCD_HT300to500_madgraphMLM   400       6    200 0.05     0     0
   QCD_HT300to500_madgraphMLM   400       6    200  0.1     0     0
   QCD_HT300to500_madgraphMLM   400       6    200  0.2     0     0
   QCD_HT300to500_madgraphMLM   400       6    200  0.3     0     0
   QCD_HT300to500_madgraphMLM   400       6    200  0.4     0     0
   QCD_HT300to500_madgraphMLM   400       6    400    0     0     0
   QCD_HT300to500_madgraphMLM   400       6    400  0.3     0     0
   QCD_HT300to500_madgraphMLM   400       9    130    0     0     0
   QCD_HT300to500_madgraphMLM   400       9    130 0.05     0     0
   QCD_HT300to500_madgraphMLM   400       9    130  0.1     0     0
   QCD_HT300to500_madgraphMLM   400       9    130  0.2     0     0
   QCD_HT300to500_madgraphMLM   400       9    200    0     0     0
   QCD_HT300to500_madgraphMLM   800       2    130    0     0     0
   QCD_HT300to500_madgraphMLM   800       2    130 0.05     0     0
   QCD_HT300to500_madgraphMLM   800       2    130  0.1     0     0
   QCD_HT300to500_madgraphMLM   800       2    130 0.15     0     0
